dataset,repeat,split_id,seed,split_policy,method,variant,lam,sub_dim,eta,tau,smooth_backend,scoring_backend,num_nodes,num_features,num_classes,train_size,val_size,test_size,train_acc,val_acc,test_acc,cg_iters,cg_converged,time_sec,g_0,g_1,g_2,g_3,g_4,error
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,0.5,8,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,183.0,1703.0,5.0,87.0,59.0,37.0,1.0,0.7457627058029175,0.7297297120094299,0.0,True,4.727,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,1.0,8,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,183.0,1703.0,5.0,87.0,59.0,37.0,0.954023003578186,0.6440678238868713,0.6486486196517944,0.0,True,0.034,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,3.0,8,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,183.0,1703.0,5.0,87.0,59.0,37.0,0.9080459475517273,0.5423728823661804,0.4864864945411682,0.0,True,0.041,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,5.0,8,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,183.0,1703.0,5.0,87.0,59.0,37.0,0.9080459475517273,0.5254237055778503,0.4864864945411682,0.0,True,0.033,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,0.5,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,183.0,1703.0,5.0,87.0,59.0,37.0,1.0,0.7118644118309021,0.7027027010917664,0.0,True,0.071,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,1.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,183.0,1703.0,5.0,87.0,59.0,37.0,0.9885057210922241,0.6440678238868713,0.5945945978164673,0.0,True,0.047,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,3.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,183.0,1703.0,5.0,87.0,59.0,37.0,0.9425287246704102,0.5423728823661804,0.45945945382118225,0.0,True,0.075,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,5.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,183.0,1703.0,5.0,87.0,59.0,37.0,0.954023003578186,0.5254237055778503,0.4864864945411682,0.0,True,0.065,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,0.5,16,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,183.0,1703.0,5.0,87.0,59.0,37.0,1.0,0.6779661178588867,0.6486486196517944,0.0,True,0.041,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,1.0,16,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,183.0,1703.0,5.0,87.0,59.0,37.0,0.9885057210922241,0.6101694703102112,0.5945945978164673,0.0,True,0.094,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,3.0,16,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,183.0,1703.0,5.0,87.0,59.0,37.0,0.9655172228813171,0.5593220591545105,0.4324324429035187,0.0,True,0.032,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,5.0,16,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,183.0,1703.0,5.0,87.0,59.0,37.0,0.9655172228813171,0.5254237055778503,0.4054054021835327,0.0,True,0.05,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,0.5,8,0.0,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.931034505367279,0.7118644118309021,0.5675675868988037,0.0,True,0.057,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,0.5,8,0.05,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.931034505367279,0.7118644118309021,0.5675675868988037,0.0,True,0.059,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,0.5,8,0.1,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.931034505367279,0.7118644118309021,0.5675675868988037,0.0,True,0.055,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,1.0,8,0.0,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.9080459475517273,0.6779661178588867,0.5135135054588318,0.0,True,0.055,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,1.0,8,0.05,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.9080459475517273,0.6779661178588867,0.5135135054588318,0.0,True,0.049,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,1.0,8,0.1,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.9080459475517273,0.6779661178588867,0.5135135054588318,0.0,True,0.043,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,3.0,8,0.0,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.8505747318267822,0.49152541160583496,0.4324324429035187,0.0,True,0.043,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,3.0,8,0.05,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.8620689511299133,0.49152541160583496,0.4324324429035187,0.0,True,0.05,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,3.0,8,0.1,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.8620689511299133,0.49152541160583496,0.4324324429035187,0.0,True,0.051,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,5.0,8,0.0,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.8160919547080994,0.49152541160583496,0.37837839126586914,0.0,True,0.042,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,5.0,8,0.05,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.8160919547080994,0.49152541160583496,0.37837839126586914,0.0,True,0.049,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,5.0,8,0.1,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.8160919547080994,0.49152541160583496,0.37837839126586914,0.0,True,0.043,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,0.5,12,0.0,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.9425287246704102,0.694915235042572,0.5405405163764954,0.0,True,0.06,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,0.5,12,0.05,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.9425287246704102,0.694915235042572,0.5405405163764954,0.0,True,0.045,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,0.5,12,0.1,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.9425287246704102,0.694915235042572,0.5405405163764954,0.0,True,0.049,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,1.0,12,0.0,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.931034505367279,0.6610169410705566,0.4864864945411682,0.0,True,0.048,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,1.0,12,0.05,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.931034505367279,0.6610169410705566,0.4864864945411682,0.0,True,0.055,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,1.0,12,0.1,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.931034505367279,0.6610169410705566,0.4864864945411682,0.0,True,0.052,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,3.0,12,0.0,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.8735632300376892,0.508474588394165,0.4054054021835327,0.0,True,0.049,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,3.0,12,0.05,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.8735632300376892,0.508474588394165,0.4054054021835327,0.0,True,0.046,,,,,,
cornell,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_dynamic_layer3,3.0,12,0.1,5.0,src_v5_dense_layer1,smooth_dynamic_layer3,183.0,1703.0,5.0,87.0,59.0,37.0,0.8735632300376892,0.508474588394165,0.4054054021835327,0.0,True,0.046,,,,,,
